[2025-03-15T16:59:24.203+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Google_map.insert_data_task manual__2025-03-15T16:59:18.537100+00:00 [queued]>
[2025-03-15T16:59:24.268+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Google_map.insert_data_task manual__2025-03-15T16:59:18.537100+00:00 [queued]>
[2025-03-15T16:59:24.296+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2025-03-15T16:59:24.540+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): insert_data_task> on 2025-03-15 16:59:18.537100+00:00
[2025-03-15T16:59:24.618+0000] {standard_task_runner.py:60} INFO - Started process 80530 to run task
[2025-03-15T16:59:24.688+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'Google_map', 'insert_data_task', 'manual__2025-03-15T16:59:18.537100+00:00', '--job-id', '80', '--raw', '--subdir', 'DAGS_FOLDER/google_map_dag_etl.py', '--cfg-path', '/tmp/tmpsqc7vywe']
[2025-03-15T16:59:24.719+0000] {standard_task_runner.py:88} INFO - Job 80: Subtask insert_data_task
[2025-03-15T16:59:25.279+0000] {task_command.py:423} INFO - Running <TaskInstance: Google_map.insert_data_task manual__2025-03-15T16:59:18.537100+00:00 [running]> on host DESKTOP-AVAHALM.
[2025-03-15T16:59:25.597+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='master_m2si' AIRFLOW_CTX_DAG_ID='Google_map' AIRFLOW_CTX_TASK_ID='insert_data_task' AIRFLOW_CTX_EXECUTION_DATE='2025-03-15T16:59:18.537100+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-15T16:59:18.537100+00:00'
[2025-03-15T16:59:25.653+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : invalid input syntax for type numeric: "1 étoile"
LINE 3: ...l!! Ils traitent les clients comme des animals!', '1 étoile'...
                                                             ^
[2025-03-15T16:59:25.654+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.656+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.657+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.658+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.659+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.660+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.661+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.662+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.663+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.664+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.670+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.672+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
[2025-03-15T16:59:25.673+0000] {logging_mixin.py:188} INFO - ⚠️ Erreur lors de l'insertion d'une ligne : current transaction is aborted, commands ignored until end of transaction block
